[1,"3. Bernie Sanders suppo…"]
[2,"RT @CalvinKlein: Soak up the Malibu sun with @camerondallas + Stella Lucia in the S16 CK Jeans capsule campaign. #mycalvins https://t.co/al…"]
[3,"RT @manny_ottawa: You do know #Mexico acts very #Trump like with its Southern border https://t.co/53Wqpey3VG–Mexico_border"]
[4,"#Racists https:…"]
[5,"RT @arnittaj: My Lexia and her prom date, Donald!!!"]
[6,"#ophsprom https://t.co/iZu7gGMGq4"]
[7,"RT @ChadPergram: Pelosi on Clinton: It will be wonderful..to have a woman President of the US. But that is not the credential to be  electe…"]
[8,"I know.....it's funny as hell...talk about low info.....VOTE TRUMP https://t.co/NQDgMXFGrw"]
[9,"Juan Williams: In Backing Trump, GOP is Betraying Evangelical Republicans https://t.co/ics5cqHx7V"]
[10,"RT @MrMediaTraining: Okay, how about we also apply that standard to presidential candidates who intentionally stoke violence?  https://t.co…"]
[11,"RT @IngrahamAngle: Cruz Repeatedly Refuses To Say If He'll Support Trump As The GOP Nominee https://t.co/MTfP1tMRxW"]
[12,"RT @CapehartJ: Would that Sen. Sanders spent as much time preparing and releasing those taxes as he does talking about a contested conventi…"]
[13,"Poll: Trump has 15-point lead over Cruz in Ind.: Republican front-runner Donald Trump holds a 15-point lead o... https://t.co/kljZ97FT55"]
[14,"RT @realDonaldTrump: .@KarlRove is a failed Jeb Bushy. Never says anything good &amp; never will, even after I beat Hillary. Shouldn't be on th…"]
[15,"RT @GinsburgJobs: Bernie #Sanders’s Fund-Raising Plunges Amid Campaign Woes https://t.co/Q2stLkKPiO via @NYTPolitics"]
[16,"RT @THEREALTMAC: https://t.co/2ehN3jsUXE "AMERICA AMERICA" HIPHOP COMMUNITY NEEDS THIS ONE! #Election2016 #SUMMERBIXTEEN @IamAkademiks @TAX…"]
[17,"RT @Dem4Hillary: Get the vote out Indiana! Vote on May 3rd.. Vote Hillary! #INPrimary  https://t.co/a2QAiux7JM"]
[18,"RT @BarackObama: "Poll after poll shows a majority of Americans think Senate Republicans should do their job." —President Obama https://t.c…"]
[19,"@RiotWomennn @PuestoLoco #What Bernie stands for today is all that counts-the past is over and people grow or stagnate except for MORONS"]
[20,"@FoxNews Women have no business getting into politics, &amp; worse B candidates 4 CIC, if they can't take equal treatment @realDonaldTrump @CNN"]
[21,"RT @mitchellvii: Cruz says "elections are won" by stealing delegates.  No, Mr Cruz, THIS is how elections are won! https://t.co/hUECqdbES4"]
